Customer_ID,Status_Checking_Acc,Duration_in_Months,Credit_History,Purposre_Credit_Taken,Credit_Amount,Savings_Acc,Years_At_Present_Employment,Inst_Rt_Income,Marital_Status_Gender,Other_Debtors_Guarantors,Current_Address_Yrs,Property,Age,Other_Inst_Plans,Housing,Num_CC,Job,Dependents,Telephone,Foreign_Worker,Default_On_Payment,Customer_ID,Status score,credit history score,Credit_Amount score,savings score,Years_At_Present_Employment score,Other_Debtors_Guarantors score,Current_Address_Yrs score,Job score,Property score,Score pondéré,Score pondéré binaire
100001,… < 0 USD,6,critical account/other credits existing(not at this bank),radio/television,1169,unknown/ no savings account,.. >= 7 years,4,male  single,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100001,1,0,2,0,3,0,1,1,3,1.06,1
100002,0 <= … < 10000,48,existing credits paid back duly till now,radio/television,5951,… < 1000 USD,1 <= … < 4 years,2,female divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes,Defaulted,100002,2,1,1,0,1,0,0,1,3,1.03,1
100003,no checking account,12,critical account/other credits existing(not at this bank),education,2096,… < 1000 USD,4 <= … < 7 years,2,male  single,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,Defaulted,100003,0,0,2,0,2,0,1,0,3,0.71,0
100004,… < 0 USD,42,existing credits paid back duly till now,furniture/equipment,7882,… < 1000 USD,4 <= … < 7 years,2,male  single,guarantor,4,building society savings agreement/life insurance,45,none,for free,1,skilled employee / official,2,none,yes,Defaulted,100004,1,1,1,0,2,2,1,1,2,1.12,1
100005,… < 0 USD,24,delay in paying off in the past,car (new),4870,… < 1000 USD,1 <= … < 4 years,3,male  single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,No Default,100005,1,0,1,0,1,0,1,1,0,0.58,0
100006,no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1 <= … < 4 years,2,male  single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,"yes, registered under the customer’s name",yes,Defaulted,100006,0,1,1,0,1,0,1,0,0,0.53,0
100007,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,5000 <= … < 10000 USD,.. >= 7 years,3,male  single,none,4,building society savings agreement/life insurance,53,none,own,1,skilled employee / official,1,none,yes,Defaulted,100007,0,1,2,2,3,0,1,1,2,1.21,1
100008,0 <= … < 10000,36,existing credits paid back duly till now,car (used),6948,… < 1000 USD,1 <= … < 4 years,2,male  single,none,2,"car or other, not in attribute 6",35,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customer’s name",yes,Defaulted,100008,2,1,1,0,1,0,0,2,1,0.98,1
100009,no checking account,12,existing credits paid back duly till now,radio/television,3059,.. >= 10000 USD,4 <= … < 7 years,2,male  divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,Defaulted,100009,0,1,1,3,2,0,1,0,3,1.08,1
100010,0 <= … < 10000,30,critical account/other credits existing(not at this bank),car (new),5234,… < 1000 USD,unemployed,4,male  married/widowed,none,2,"car or other, not in attribute 6",28,none,own,2,management/ self-employed/highly qualified employee/ officer,1,none,yes,No Default,100010,2,0,1,0,0,0,0,2,1,0.68,0
